0.000000, -2.438754, 1.#INF00, 1.951332
0.400000, -2.937965, 47.113011, 6.842729
0.800000, -2.597194, 0.485429, 2.817822
1.200000, -2.997792, 0.398675, 7.081520
1.600000, -2.565822, 0.215382, 0.048752
2.000000, -2.722099, 7.911024, 3.583092
2.400000, -2.894934, 0.840294, 6.883325
2.800000, -2.788536, 0.437106, 6.821275
3.200000, -2.599691, 0.612708, 6.554596
3.600000, -2.315919, 0.875616, 6.103667
4.000000, -1.900345, 1.270707, 5.290345
4.400000, -1.245191, 1.653189, 0.749874
4.800000, -0.863849, 0.507174, 0.058363
5.200000, -0.724406, 0.257329, 0.113605
5.600000, -0.639371, 0.175303, 0.007413
6.000000, -0.575941, 0.135133, 0.010702
6.400000, -0.527993, 0.109535, 0.020662
6.800000, -0.488150, 0.090146, 0.005745
7.200000, -0.453889, 0.077575, 0.001268
7.600000, -0.426073, 0.066619, 0.002363
8.000000, -0.401399, 0.058380, 0.001643
8.400000, -0.379225, 0.052036, 0.009347
8.800000, -0.360537, 0.046286, 0.002715
9.200000, -0.341919, 0.041594, 0.002185
9.600000, -0.325807, 0.037587, 0.006325
10.000000, -0.312435, 0.033391, 0.000046
10.400000, -0.299551, 0.031027, 0.004152
10.800000, -0.287160, 0.028855, 0.000851
11.200000, -0.276505, 0.026286, 0.001655
11.600000, -0.266568, 0.024624, 0.004926
12.000000, -0.257469, 0.022911, 0.005544
12.400000, -0.248100, 0.021225, 0.001764
12.800000, -0.240000, 0.019632, 0.002635
13.200000, -0.231986, 0.018372, 0.004057
13.600000, -0.225021, 0.017361, 0.003359
14.000000, -0.218044, 0.016213, 0.002061
14.400000, -0.212888, 0.015433, 0.003259
14.800000, -0.206184, 0.014415, 0.000954
15.200000, -0.199775, 0.013613, 0.002388
15.600000, -0.195320, 0.012970, 0.002706
16.000000, -0.190591, 0.012256, 0.008542
16.400000, -0.185534, 0.011594, 0.000328
16.800000, -0.181519, 0.011077, 0.001387
17.200000, -0.177521, 0.010618, 0.002519
17.600000, -0.172627, 0.010093, 0.003164
18.000000, -0.168511, 0.009510, 0.001503
18.400000, -0.164110, 0.009082, 0.003335
18.800000, -0.160876, 0.008761, 0.005956
19.200000, -0.157471, 0.008453, 0.005478
19.600000, -0.154722, 0.008138, 0.004020
20.000000, -0.151331, 0.007680, 0.001409
